"Stock_Symbol","Stock_Name","Timestamp","Open","High","Low","Close","Volume"
"TM","Toyota Motor Corporation","2021-08-31 13:45:00",174.615,174.685,174.55,174.685,2217
"BAC","Bank of America Corporation","2021-09-08 19:45:00",40.75,40.76,40.75,40.75,3740
"BCS","Barclays Plc","2021-08-30 15:45:00",10.215,10.22,10.2,10.205,70035
"INTC","Intel Corporation","2021-08-19 09:45:00",52.0544,52.08,51.58,51.8,2008439
"AZN","Astrazeneca Plc.","2021-09-13 08:15:00",56.75,56.75,56.71,56.71,7010
"GS","Goldman Sachs Group, Inc.","2021-08-18 12:15:00",405.08,405.72,404.85,404.88,24302
"EBAY","eBay Inc.","2021-09-01 10:15:00",76.47,76.75,76.22,76.47,218246
"ORCL","Oracle Corporation","2021-08-19 12:45:00",88.76,88.845,88.7075,88.765,198609
"JPM","J.P. Morgan Chase & Co.","2021-09-03 07:15:00",161,161,161,161,119
"DELL","Dell Inc.","2021-08-26 09:15:00",102.4,102.8,102.4,102.8,2600
"CSCO","Cisco Systems Inc","2021-08-24 17:30:00",59.34,59.7,59.34,59.55,62961
"GE","General Electric Company","2021-09-13 13:45:00",104.04,104.06,103.85,103.86,307622
"AZN","Astrazeneca Plc.","2021-09-01 07:45:00",58.54,58.54,58.54,58.54,441
"GOOG","Google Inc.","2021-09-13 09:30:00",2858.02,2858.02,2858.02,2858.02,876
"JPM","J.P. Morgan Chase & Co.","2021-09-01 14:30:00",160.04,160.06,159.82,159.82,189369
"AZN","Astrazeneca Plc.","2021-08-25 07:15:00",59.2,59.2,59.1,59.11,7941
"GOOG","Google Inc.","2021-09-09 09:45:00",2897.67,2904.68,2888.68,2904.68,77051
"PFE","Pfizer Inc.","2021-08-23 06:30:00",50.35,50.35,50.3,50.35,2475
"INTC","Intel Corporation","2021-08-24 15:45:00",53.81,53.83,53.74,53.77,653087
"ADBE","Adobe Systems","2021-09-10 12:45:00",664.39,665.42,664.34,665.39,25701
"GE","General Electric Company","2021-09-09 09:00:00",102.42,102.42,102.42,102.42,500
"CSCO","Cisco Systems Inc","2021-08-24 09:00:00",58.28,58.41,58.28,58.33,7583
"BCS","Barclays Plc","2021-09-03 12:00:00",10.3398,10.35,10.335,10.345,52463
"PFE","Pfizer Inc.","2021-09-07 15:00:00",46.685,46.7,46.63,46.64,533252
"TM","Toyota Motor Corporation","2021-09-01 14:00:00",176.82,176.95,176.77,176.8697,7089
"BAC","Bank of America Corporation","2021-09-03 09:30:00",41.3,41.32,41.02,41.02,70350
"IBM","International Business Machines Corporation","2021-09-10 15:15:00",137.72,137.72,137.445,137.52,80622
"PFE","Pfizer Inc.","2021-09-14 16:30:00",44.7,44.71,44.68,44.68,5276
